ubigeo,n_facilities,mean,max,emergencias_total
CHOROS,4.0,9342.838554362854,9359.201487484224,
CHORRILLOS,26.0,8656.680166939363,8657.596973605167,
CHUCATAMANI,,8123.852254865485,8125.510815389657,
CHUCUITO,4.0,8303.540376233363,8314.675283772576,
CHUGAY,6.0,9138.240332170246,9156.433201392818,
CHUGUR,3.0,9261.232618112374,9266.121504062972,
CHULUCANAS,11.0,9434.797702676808,9450.263141373247,
CHUMPI,4.0,8354.231972527212,8363.869896374163,
CHUMUCH,2.0,9273.299839847676,9279.793610244267,
CHUNGUI,6.0,8557.604026835137,8573.43292097221,
CHUPACA,2.0,8678.956674690457,8680.46181141893,
CHUPAMARCA,2.0,8581.930056691059,8597.814550486852,
CHUPURO,2.0,8664.644743775814,8669.16201041569,
CHUQUIBAMBA,4.0,8689.438137529147,9240.724647154202,
CHUQUIBAMBILLA,7.0,8468.311470886145,8482.98567958184,
CHUQUIS,4.0,8937.96284564165,8942.947371011822,
CHURCAMPA,1.0,8613.323519996993,8621.667354033782,
CHURUBAMBA,7.0,8928.253800212891,8951.132818939877,
CHURUJA,1.0,9335.663167055409,9337.960763154488,
CHUSCHI,6.0,8523.943636156499,8538.59691709575,
CIENEGUILLA,3.0,8669.953041946384,8673.823449061743,
CIUDAD NUEVA,3.0,8069.135670181065,8070.480946017472,
COALAQUE,2.0,8209.5696909225,8226.376930122664,
COAYLLO,,8601.224072379411,8618.505525998005,
COCABAMBA,2.0,9268.559421733398,9276.1184714328,
COCACHACRA,5.0,8157.631441335319,8174.040659966218,
COCHABAMBA,13.0,9041.38290278961,9286.93995428064,
COCHAMAL,1.0,9299.158404502385,9304.976423661798,
COCHAMARCA,3.0,8796.1583982387,8810.853124824978,
COCHAPETI,1.0,8897.3037259736,8901.622415023392,
COCHARCAS,3.0,8517.23328038882,8523.214921891036,
COCHAS,5.0,8755.53253431481,8838.162804064394,
COCHORCO,5.0,9136.128860766155,9149.322501178976,
CODO DEL POZUZO,3.0,8938.937716360007,8977.330298830313,
COISHCO,2.0,9001.182210636378,9001.182210636378,
COJATA,3.0,8408.125410187215,8428.70695253595,
COLASAY,7.0,9343.489228358734,9368.47044188973,
COLCABAMBA,10.0,8645.901158201541,8945.35696646031,
COLCAMAR,4.0,9303.875313397473,9306.554852331274,
COLCHA,2.0,8506.469690053194,8511.54667417904,
COLONIA,1.0,8617.80050148423,8627.262745624712,
COLPAS,3.0,8873.425993727245,8886.767683073924,
COLQUEMARCA,5.0,8459.78581809517,8480.423525065555,
COLQUEPATA,5.0,8559.06360706938,8572.738811519535,
COLQUIOC,1.0,8863.565465322232,8869.59020274151,
COMANDANTE NOEL,2.0,8954.385154339716,8964.031783871043,
COMBAPATA,2.0,8487.176718862836,8490.742969892992,
COMBOPATA,,8489.157546198008,8489.157546198008,
